Row.names	MeanDecreaseAccuracy	MeanDecreaseGini	Rank_Gini_RF	s1	abs_coeff	Rank_absC_ENET	RankProd	RankProd_Rank
ppara	1.87473230008811	0.392693123915709	117	0	0	542.5	63472.5	226
ppfia2	0.906148592451764	0.304001547617241	203	0.00118325531637968	0.00118325531637968	256	51968	198
ppfia4	-1.15007863413397	0.0957639300487447	811	0	0	542.5	439967.5	812
ppm1e	0.220477552021614	0.316035992040478	182	0	0	542.5	98735	289
ppp1r16b	0.455667597061148	0.358575011462909	138	0.0475048905644932	0.0475048905644932	160	22080	132
prkcb	-0.285534445934307	0.43783362989664	89	0.0471555203995368	0.0471555203995368	161	14329	110
psap	0.886232294431042	0.386665900347904	119	0.0943326312481341	0.0943326312481341	99	11781	99
ptk7	1.96637634398534	0.181221801916281	533	0	0	542.5	289152.5	558
ptprd	0.251339057132048	0.267000369879665	261	-0.0404185884766316	0.0404185884766316	172	44892	176
ptprn2	0.974214157004471	0.22128715881095	371	-0.053778672116883	0.053778672116883	149	55279	208
pvalb	-0.0868969122528249	0.315979979076956	184	0	0	542.5	99820	292
pxdc1	0.399829866788139	0.380551422649903	124	0	0	542.5	67270	235
rab20	2.39174630600495	0.570438398852912	59	-0.217839006912934	0.217839006912934	34	2006	37
ralyl	-0.802910856328728	0.148056096375851	676	0	0	542.5	366730	688
ramp1	1.23821343447613	0.188235488713722	507	-0.0309369338776518	0.0309369338776518	186	94302	282
raver2	1.22155577633526	0.202967949074715	428	0	0	542.5	232190	469
rbfox3	0.442835224639241	0.270552160707283	257	0	0	542.5	139422.5	347
rbms3	2.75469593312445	0.593728999309177	55	0.174026749597584	0.174026749597584	50	2750	46
reln	1.51955838720745	0.129700512980442	738	0	0	542.5	400365	746
rem2	-0.119816210944643	0.118653796363512	769	0	0	542.5	417182.5	774
rfx2	0.714116792030927	0.1128099311612	782	0	0	542.5	424235	786
rgs7	1.03005966468336	0.139369925737198	703	0	0	542.5	381377.5	714
rimbp2	1.48915383058434	0.19323685297627	482	0	0	542.5	261485	511
rims2	1.18208514869613	0.304429697945687	202	0.0102692756529521	0.0102692756529521	232	46864	185
rims3	0.510529181180084	0.0973897792561852	810	0	0	542.5	439425	811
rims4	3.50783255512303	0.824442304041819	32	0	0	542.5	17360	119
rnf213	7.23173255505835	2.97897396441564	6	-0.321563244743611	0.321563244743611	11	66	5
robo1	1.49273192507952	0.180241386408105	538	0	0	542.5	291865	563
robo2	0.63657938808746	0.221773444700955	369	0	0	542.5	200182.5	428
rora	-0.0871172160037074	0.328775519536005	167	0	0	542.5	90597.5	277
rpl11	-0.945015204350904	0.234094598104833	331	0	0	542.5	179567.5	401
